id,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,true_label
494,0.006968443747609854,0.02652113325893879,0.9311301112174988,0.02209886722266674,0.013281433843076229,2
375,0.007328783627599478,0.01865544728934765,0.9491589665412903,0.012055538594722748,0.012801248580217361,2
807,0.04494868591427803,0.03303523734211922,0.23226071894168854,0.0944112092256546,0.5953441262245178,4
827,0.6016508340835571,0.32429763674736023,0.017473647370934486,0.017225636169314384,0.039352256804704666,4
325,0.10924503952264786,0.6924535632133484,0.1508435755968094,0.028491327539086342,0.01896650157868862,1
295,0.6310545206069946,0.23144015669822693,0.01053223479539156,0.016491176560521126,0.11048192530870438,1
479,0.013424793258309364,0.03339054808020592,0.9085524082183838,0.022193454205989838,0.02243872359395027,2
481,0.42664462327957153,0.41283735632896423,0.009781449101865292,0.09743064641952515,0.053305890411138535,2
292,0.5131996870040894,0.38790157437324524,0.0069964490830898285,0.050826143473386765,0.04107612371444702,1
445,0.0065335677936673164,0.015228656120598316,0.9535077214241028,0.013775024563074112,0.01095503754913807,2
541,0.01642872393131256,0.04984940588474274,0.905337393283844,0.014407947659492493,0.013976605609059334,2
710,0.05608231946825981,0.030702413991093636,0.09020483493804932,0.32359856367111206,0.4994119107723236,3
720,0.05997315049171448,0.5604485273361206,0.21628490090370178,0.1104491651058197,0.05284429341554642,3
343,0.0670693889260292,0.33628520369529724,0.5457568168640137,0.030032366514205933,0.02085615135729313,2
575,0.06411372125148773,0.06282833963632584,0.02423214167356491,0.8238723278045654,0.02495340071618557,3
212,0.2813454270362854,0.6591992974281311,0.0166535135358572,0.022050054743885994,0.020751677453517914,1
629,0.08958699554204941,0.09732182323932648,0.04049333184957504,0.6714795231819153,0.10111825913190842,3
798,0.009320664219558239,0.015374762937426567,0.9271683096885681,0.018325842916965485,0.029810430482029915,4
402,0.04073696210980415,0.3536931276321411,0.5532190203666687,0.037719640880823135,0.014631327241659164,2
821,0.03497970104217529,0.024611975997686386,0.024580124765634537,0.03659450635313988,0.8792335987091064,4
