file_id_norm,emotion,label_id,split,prob_Cluster 1,prob_Cluster 2,prob_Cluster 3,prob_Cluster 4,prob_Cluster 5
019,Cluster 1,0,train,0.21979980170726776,0.23519745469093323,0.24562636017799377,0.1700480729341507,0.12932823598384857
575,Cluster 4,3,train,0.2152366191148758,0.23688966035842896,0.2393776923418045,0.17536775767803192,0.13312818109989166
522,Cluster 3,2,train,0.2127813845872879,0.2301119714975357,0.25699809193611145,0.17081278562545776,0.12929581105709076
301,Cluster 2,1,train,0.22086375951766968,0.23482771217823029,0.24991339445114136,0.16754791140556335,0.1268472671508789
839,Cluster 5,4,train,0.2151777744293213,0.2334132343530655,0.23995110392570496,0.17531739175319672,0.13614057004451752
513,Cluster 3,2,train,0.2137708067893982,0.2335444688796997,0.2514917850494385,0.17133580148220062,0.1298571228981018
757,Cluster 5,4,train,0.22124223411083221,0.23791097104549408,0.24219422042369843,0.16964955627918243,0.12900309264659882
121,Cluster 1,0,train,0.21770446002483368,0.2287849336862564,0.25242704153060913,0.17061537504196167,0.13046817481517792
836,Cluster 5,4,train,0.22217923402786255,0.2359975129365921,0.23892657458782196,0.17083272337913513,0.13206398487091064
069,Cluster 1,0,train,0.2138713300228119,0.23366115987300873,0.2495417594909668,0.17216576635837555,0.13075995445251465
506,Cluster 3,2,train,0.22233401238918304,0.2346803992986679,0.25109222531318665,0.16647866368293762,0.1254146844148636
511,Cluster 3,2,train,0.22001436352729797,0.2374257743358612,0.2625659704208374,0.16188852488994598,0.11810535937547684
427,Cluster 3,2,train,0.21214233338832855,0.22900302708148956,0.24639984965324402,0.17608100175857544,0.13637378811836243
490,Cluster 3,2,train,0.21214871108531952,0.23253947496414185,0.2456698715686798,0.1748691350221634,0.13477271795272827
589,Cluster 4,3,train,0.21309751272201538,0.2366904318332672,0.24195316433906555,0.17489741742610931,0.13336151838302612
383,Cluster 3,2,train,0.21157053112983704,0.22949501872062683,0.25272148847579956,0.17362219095230103,0.13259071111679077
619,Cluster 4,3,train,0.2145170271396637,0.23092065751552582,0.2532513737678528,0.17119675874710083,0.13011421263217926
552,Cluster 4,3,train,0.21612459421157837,0.23299063742160797,0.2441580891609192,0.17359544336795807,0.13313129544258118
347,Cluster 3,2,train,0.21787603199481964,0.23141834139823914,0.24707871675491333,0.17179588973522186,0.1318310648202896
698,Cluster 4,3,train,0.21695975959300995,0.23582392930984497,0.24331292510032654,0.17247655987739563,0.13142681121826172
148,Cluster 1,0,train,0.22262610495090485,0.23089659214019775,0.24887622892856598,0.16821566224098206,0.12938545644283295
186,Cluster 2,1,train,0.21180836856365204,0.23546908795833588,0.2352892905473709,0.17893728613853455,0.13849595189094543
668,Cluster 4,3,train,0.22542469203472137,0.22649575769901276,0.2603128254413605,0.16383303701877594,0.12393368780612946
231,Cluster 2,1,train,0.22187423706054688,0.23589447140693665,0.24403518438339233,0.16933347284793854,0.12886269390583038
032,Cluster 1,0,train,0.22083832323551178,0.2378452718257904,0.24084913730621338,0.17014040052890778,0.13032689690589905
764,Cluster 5,4,train,0.21339046955108643,0.23489125072956085,0.24000072479248047,0.1761288195848465,0.13558872044086456
851,Cluster 5,4,train,0.22005878388881683,0.23359189927577972,0.24893279373645782,0.16831840574741364,0.12909813225269318
313,Cluster 2,1,train,0.21429231762886047,0.22956544160842896,0.2562802731990814,0.17065389454364777,0.12920810282230377
505,Cluster 3,2,train,0.21583163738250732,0.2339976727962494,0.2453186959028244,0.17284750938415527,0.13200445473194122
486,Cluster 3,2,train,0.22118665277957916,0.23785105347633362,0.2463662475347519,0.16794203221797943,0.1266539841890335
008,Cluster 1,0,train,0.22218306362628937,0.23612762987613678,0.24432748556137085,0.16853740811347961,0.12882444262504578
733,Cluster 4,3,train,0.2144804298877716,0.23714454472064972,0.2394072562456131,0.17469793558120728,0.1342698335647583
128,Cluster 1,0,train,0.2197020798921585,0.22737103700637817,0.24716438353061676,0.17190216481685638,0.13386034965515137
298,Cluster 2,1,train,0.21650895476341248,0.23555351793766022,0.2374400794506073,0.1747552752494812,0.1357421725988388
124,Cluster 1,0,train,0.21654139459133148,0.23062294721603394,0.24674710631370544,0.17303058505058289,0.13305799663066864
295,Cluster 2,1,train,0.21335506439208984,0.2342618703842163,0.23460616171360016,0.17854881286621094,0.13922812044620514
318,Cluster 2,1,train,0.21532469987869263,0.23239804804325104,0.24722690880298615,0.1727331280708313,0.13231724500656128
721,Cluster 4,3,train,0.21422524750232697,0.23261506855487823,0.24194878339767456,0.17552462220191956,0.13568630814552307
108,Cluster 1,0,train,0.21889212727546692,0.23216038942337036,0.2572439908981323,0.16626618802547455,0.12543731927871704
235,Cluster 2,1,train,0.2116273045539856,0.23423923552036285,0.23947778344154358,0.17827528715133667,0.1363804191350937
049,Cluster 1,0,train,0.2177121341228485,0.23303046822547913,0.247285395860672,0.17106619477272034,0.13090582191944122
212,Cluster 2,1,train,0.21874578297138214,0.23735536634922028,0.24407580494880676,0.17106087505817413,0.1287621557712555
288,Cluster 2,1,train,0.21043649315834045,0.23666828870773315,0.23665042221546173,0.17912817001342773,0.13711664080619812
416,Cluster 3,2,train,0.2153148204088211,0.23556911945343018,0.245315819978714,0.17266163229942322,0.13113868236541748
166,Cluster 1,0,train,0.2145524024963379,0.23647747933864594,0.23660166561603546,0.17637209594249725,0.13599638640880585
248,Cluster 2,1,train,0.22137393057346344,0.23717041313648224,0.247752845287323,0.16759322583675385,0.1261095255613327
794,Cluster 5,4,train,0.21388602256774902,0.22913579642772675,0.24463096261024475,0.17591603100299835,0.13643112778663635
114,Cluster 1,0,train,0.2142358422279358,0.23548875749111176,0.24008186161518097,0.1757025569677353,0.13449089229106903
446,Cluster 3,2,train,0.21674080193042755,0.23563165962696075,0.2462007701396942,0.1713288277387619,0.13009800016880035
273,Cluster 2,1,train,0.21207304298877716,0.23173652589321136,0.24641814827919006,0.17497776448726654,0.13479457795619965
343,Cluster 3,2,train,0.2110760360956192,0.23403345048427582,0.24484896659851074,0.17578242719173431,0.13425908982753754
157,Cluster 1,0,train,0.21598970890045166,0.23777978122234344,0.23762179911136627,0.17504426836967468,0.13356445729732513
843,Cluster 5,4,train,0.21146069467067719,0.228388711810112,0.24078026413917542,0.17879772186279297,0.14057257771492004
593,Cluster 4,3,train,0.22213177382946014,0.2350200116634369,0.24322183430194855,0.17010605335235596,0.12952037155628204
